Gender,Race,Age_Group,Location,English_Fluency,Education,Experience_Years,Skills_Score,Hired,model_prediction
Female,White,35-44,Urban,Medium,Diploma,12,0.37,0,0
Female,Coloured,35-44,Urban,Medium,Degree,12,0.27,0,0
Male,White,45-54,Urban,Medium,Matric,20,0.64,1,1
Female,Black,55+,Rural,Low,Degree,1,0.41,0,0
Female,White,18-24,Rural,Medium,Postgraduate,9,0.03,0,0
Female,Black,45-54,Rural,Medium,Degree,12,0.16,0,0
Female,Black,45-54,Rural,Medium,Diploma,8,0.72,1,1
Female,Coloured,45-54,Urban,High,Postgraduate,0,0.66,1,1
Male,Black,35-44,Rural,High,Matric,13,0.03,0,0
Female,Coloured,25-34,Urban,Medium,Degree,15,0.22,0,0
Female,Coloured,18-24,Urban,Medium,Postgraduate,19,0.23,0,0
Male,Coloured,55+,Rural,Medium,Matric,14,0.67,0,0
Male,Indian,55+,Urban,High,Diploma,0,0.02,0,0
Male,Black,25-34,Urban,Medium,Matric,16,0.1,0,0
Female,Black,45-54,Urban,High,Diploma,12,0.8,1,1
Male,Black,18-24,Urban,Medium,Degree,14,0.18,0,0
Female,Black,55+,Urban,High,Diploma,15,0.65,1,1
Female,White,55+,Rural,High,Diploma,15,0.24,0,0
Male,White,45-54,Rural,High,Matric,1,0.1,0,0
Male,White,25-34,Urban,Medium,Diploma,16,0.24,0,0
Female,Black,18-24,Urban,Low,Matric,10,0.72,1,1
Male,Black,25-34,Urban,Medium,Postgraduate,7,0.86,1,1
Female,Black,25-34,Rural,Medium,Matric,19,0.83,1,1
Male,Black,18-24,Urban,Low,Postgraduate,2,0.4,1,1
Male,Coloured,18-24,Urban,Medium,Diploma,11,0.67,1,1
Male,Black,55+,Urban,Medium,Diploma,19,0.2,0,0
Female,Black,55+,Urban,Medium,Degree,15,0.29,0,0
Male,Black,18-24,Urban,Medium,Diploma,13,0.9,1,1
Female,White,35-44,Rural,Low,Diploma,15,0.01,0,0
Female,White,55+,Urban,High,Matric,20,0.09,0,0
Female,Black,35-44,Urban,Low,Diploma,16,0.21,0,0
Female,Black,18-24,Urban,Medium,Matric,10,0.03,0,0
Male,Black,55+,Rural,Medium,Matric,16,0.18,0,0
Female,Black,25-34,Urban,High,Diploma,18,0.58,1,1
Female,White,18-24,Urban,Low,Matric,0,0.42,0,0
Male,White,45-54,Urban,Medium,Matric,11,0.89,1,1
Female,Black,35-44,Urban,Medium,Matric,14,0.82,1,1
Male,Black,18-24,Rural,Medium,Matric,17,0.34,0,0
Female,Other,18-24,Urban,Medium,Matric,13,0.26,0,0
Male,Black,55+,Rural,High,Postgraduate,0,0.38,0,0
Female,White,55+,Urban,High,Matric,12,0.59,1,1
Male,Black,55+,Rural,Low,Degree,14,0.27,0,0
Female,Black,45-54,Urban,Medium,Matric,6,0.62,0,0
Female,Black,55+,Rural,Medium,Postgraduate,14,0.41,0,0
Male,Black,18-24,Urban,Medium,Matric,19,0.55,1,1
Male,Indian,55+,Urban,Medium,Postgraduate,9,0.44,1,1
Male,Black,25-34,Rural,Medium,Degree,13,0.29,0,0
Male,Black,55+,Urban,High,Matric,5,0.95,1,1
Female,Black,45-54,Urban,High,Postgraduate,13,0.76,1,1
Female,Black,25-34,Urban,Low,Diploma,11,0.14,0,0
Male,Black,18-24,Urban,Medium,Matric,10,0.87,1,1
Female,Black,18-24,Urban,Medium,Degree,19,0.49,1,1
Male,Coloured,35-44,Urban,Medium,Postgraduate,18,0.89,1,1
Male,Black,25-34,Urban,Medium,Diploma,1,0.8,1,1
Female,Black,35-44,Rural,Medium,Diploma,19,0.43,0,0
Female,Indian,25-34,Urban,High,Degree,0,0.02,0,0
Female,Black,25-34,Rural,High,Degree,7,0.27,0,0
Female,Indian,45-54,Rural,Medium,Postgraduate,13,0.54,1,1
Female,Black,35-44,Urban,Medium,Degree,8,0.63,1,1
Female,Coloured,45-54,Urban,Medium,Matric,1,0.26,0,0
Female,White,25-34,Urban,Medium,Postgraduate,4,0.14,0,0
Male,Coloured,18-24,Urban,Medium,Matric,7,0.83,1,1
Male,Other,25-34,Rural,Low,Matric,15,0.98,1,1
Male,Black,45-54,Urban,Medium,Diploma,15,0.53,1,1
Male,Indian,35-44,Urban,Medium,Diploma,12,0.17,0,0
Male,Black,35-44,Urban,High,Matric,19,0.27,0,0
Female,Black,45-54,Urban,Medium,Degree,14,0.02,0,0
Male,Black,35-44,Urban,Medium,Diploma,0,0.91,1,1
Male,Black,55+,Urban,Medium,Diploma,2,0.12,0,0
Male,Black,18-24,Rural,Medium,Degree,5,0.58,1,1
Male,Black,18-24,Urban,Low,Diploma,13,0.27,0,0
Male,Black,18-24,Urban,High,Matric,3,0.55,1,1
Male,Coloured,35-44,Rural,High,Matric,17,0.65,1,1
Male,Coloured,35-44,Urban,Medium,Postgraduate,14,0.83,1,1
Female,Black,25-34,Rural,Medium,Matric,8,0.21,0,0
Female,Black,25-34,Rural,Low,Diploma,17,0.01,0,0
Male,Black,18-24,Rural,Medium,Diploma,2,0.14,0,0
Female,Black,55+,Rural,High,Diploma,9,0.9,1,1
Female,Black,25-34,Urban,Low,Matric,16,0.87,1,1
Female,Black,25-34,Rural,Medium,Diploma,6,0.6,0,0
Female,Black,35-44,Urban,Medium,Diploma,14,0.6,1,1
Male,Indian,55+,Rural,Medium,Postgraduate,0,0.67,1,1
Female,Black,18-24,Rural,High,Matric,10,0.18,0,0
Female,Black,25-34,Rural,Low,Diploma,16,0.91,1,1
Female,Black,55+,Rural,High,Diploma,4,0.42,0,0
Male,Black,55+,Urban,Medium,Diploma,6,0.38,0,0
Male,Black,18-24,Rural,High,Degree,18,0.52,1,1
Male,White,55+,Urban,Medium,Matric,14,0.05,0,0
Male,Black,55+,Rural,Medium,Matric,2,0.17,0,0
Male,Black,55+,Urban,High,Degree,14,0.74,1,1
Male,Other,25-34,Urban,Medium,Diploma,4,0.08,0,0
Male,Coloured,18-24,Urban,Medium,Diploma,11,0.6,1,1
Female,White,55+,Urban,Medium,Matric,19,0.25,0,0
Female,Black,55+,Rural,High,Matric,4,0.39,0,0
Female,White,25-34,Urban,Medium,Matric,2,0.29,0,0
Male,Black,18-24,Urban,High,Matric,8,0.36,0,0
Male,Black,35-44,Urban,Medium,Diploma,8,0.72,1,1
Male,Black,25-34,Rural,Medium,Postgraduate,6,0.3,0,0
Male,Black,18-24,Urban,High,Matric,1,0.57,0,0
Male,Black,55+,Urban,Medium,Diploma,20,0.48,0,0
Female,Black,18-24,Urban,High,Matric,15,0.66,1,1
Female,Indian,18-24,Urban,High,Diploma,8,0.94,1,1
Male,Indian,18-24,Urban,Medium,Matric,12,0.73,1,1
Male,White,35-44,Urban,Low,Postgraduate,18,0.21,0,0
Male,Black,18-24,Urban,Low,Degree,19,0.03,0,0
Male,Coloured,35-44,Rural,High,Postgraduate,16,0.26,0,0
Female,Black,55+,Rural,High,Postgraduate,5,0.6,1,1
Male,Coloured,35-44,Urban,Medium,Diploma,3,0.05,0,0
Male,Black,55+,Rural,Low,Diploma,0,0.5,0,0
Male,Coloured,55+,Urban,Low,Matric,17,0.6,1,1
Male,Black,35-44,Urban,High,Diploma,18,0.33,0,0
Female,Coloured,25-34,Urban,Medium,Postgraduate,8,0.77,1,1
Male,Indian,45-54,Urban,Medium,Matric,12,0.11,0,0
Male,Black,18-24,Urban,Medium,Postgraduate,7,0.08,0,0
Female,Black,45-54,Urban,High,Diploma,12,0.73,1,1
Female,Other,18-24,Urban,Medium,Postgraduate,14,0.5,1,1
Female,Black,18-24,Rural,Medium,Postgraduate,10,0.69,1,1
Male,Coloured,55+,Urban,Low,Degree,11,0.43,1,1
Male,Black,18-24,Urban,Medium,Degree,13,0.25,0,0
Female,Black,18-24,Urban,High,Diploma,3,0.82,1,1
Female,Black,35-44,Urban,High,Degree,0,0.8,1,1
Female,Black,45-54,Urban,Medium,Postgraduate,3,0.69,1,1
Female,Coloured,35-44,Urban,Low,Degree,18,0.27,0,0
Female,Black,18-24,Rural,Low,Degree,8,0.59,1,1
Female,Black,55+,Urban,Medium,Degree,9,0.36,0,0
Male,Black,35-44,Urban,High,Degree,3,0.09,0,0
Male,Black,35-44,Urban,Low,Diploma,19,0.92,1,1
Male,Coloured,25-34,Urban,Medium,Degree,8,0.14,0,0
Female,Other,18-24,Urban,Medium,Diploma,12,0.95,1,1
Female,Black,55+,Urban,Low,Matric,11,0.45,0,0
